Country,Participants,Gold Medals,Silver Medals,Bronze Medals,Total Medals,Weighted Medals,Weighted Hardware,Multiplied Medals,Multiplied Hardware
Norway,63,18,12,11,41,89,137,259.21,399.01
Netherlands,26,10,7,3,20,47,63,280.79,376.38
United States,96,12,12,9,33,69,249,69.0,249.0
Canada,86,5,7,9,21,38,165,42.16,183.07
Great Britain,15,3,1,1,5,12,38,50.84,160.98
Sweden,32,8,6,4,18,40,71,84.73,150.39
Italy,69,10,6,14,30,56,121,66.57,143.84
France,42,8,9,6,23,48,96,69.04,138.07
Germany,56,8,10,8,26,52,112,64.11,138.07
Austria,33,5,8,5,18,36,66,71.69,131.44
South Korea,18,3,4,3,10,20,40,65.63,131.27
Switzerland,62,6,9,8,23,44,95,58.58,126.49
Japan,37,5,7,12,24,41,63,79.61,122.33
Georgia,2,0,1,0,1,2,4,58.25,116.5
Slovenia,7,2,1,1,4,9,18,56.68,113.35
Spain,6,1,0,2,3,5,8,58.25,93.2
Finland,36,0,1,5,6,7,40,15.83,90.49
New Zealand,3,0,2,1,3,5,5,68.53,68.53
China,20,5,4,6,15,29,34,53.63,62.87
Australia,6,3,2,1,6,14,14,60.41,60.41
Poland,7,0,3,1,4,7,13,27.18,50.48
Brazil,1,1,0,0,1,3,3,46.6,46.6
Belgium,5,0,0,1,1,1,5,7.77,38.83
Bulgaria,2,0,0,2,2,2,2,23.3,23.3
Individual Neutral Athletes,1,0,1,0,1,2,2,23.3,23.3
Czech Republic,5,2,2,1,5,11,11,22.48,22.48
Kazakhstan,1,1,0,0,1,3,3,19.42,19.42
Estonia,1,0,1,0,1,2,2,14.56,14.56
Denmark,1,0,1,0,1,2,2,11.95,11.95
Latvia,2,0,1,1,2,3,3,10.28,10.28
